MONTH,BLOCKCHAIN,CHAIN_VOLUME_USD,CHAIN_SHARE_PCT
2025-05-01T00:00:00.000Z,gnosis,237342320.1,0.006871500487
2025-05-01T00:00:00.000Z,boba,30662072.97,0.0008877238971
2025-05-01T00:00:00.000Z,bob,17749252.09,0.0005138737766
2025-04-01T00:00:00.000Z,ethereum,1332533333691.74,49.583791148
2025-04-01T00:00:00.000Z,base,745572004774.13,27.742860637
2025-04-01T00:00:00.000Z,solana,220300865519.905,8.197432537
2025-04-01T00:00:00.000Z,polygon,135231076663.61,5.031971278
2025-04-01T00:00:00.000Z,bsc,95474111860.56,3.552607881
2025-04-01T00:00:00.000Z,arbitrum,59112021208.69,2.199568326
2025-04-01T00:00:00.000Z,optimism,35268224082.73,1.312336594
2025-04-01T00:00:00.000Z,avalanche,31680089312.43,1.178821492
2025-04-01T00:00:00.000Z,aptos,27009735509.7679,1.005036835
2025-04-01T00:00:00.000Z,sui,3966871966.68,0.1476079781
2025-04-01T00:00:00.000Z,near,767039933.693717,0.02854168591
2025-04-01T00:00:00.000Z,gnosis,241262500.72,0.008977418534
2025-04-01T00:00:00.000Z,ink,222923924.21,0.008295036995
2025-04-01T00:00:00.000Z,boba,34049330.73,0.001266981366
2025-04-01T00:00:00.000Z,bob,22474576.54,0.0008362828014
2025-03-01T00:00:00.000Z,ethereum,1272765177997.29,52.080986005
2025-03-01T00:00:00.000Z,base,582325579192.47,23.828504161
2025-03-01T00:00:00.000Z,solana,214280620363.457,8.76826785
2025-03-01T00:00:00.000Z,bsc,109822754814.39,4.493898368
2025-03-01T00:00:00.000Z,polygon,101996264459.6,4.173641858
2025-03-01T00:00:00.000Z,arbitrum,68704877477.78,2.811373083
2025-03-01T00:00:00.000Z,avalanche,34080200580.07,1.394546677
2025-03-01T00:00:00.000Z,optimism,31414861992.8,1.285482205
2025-03-01T00:00:00.000Z,aptos,22142166388.8665,0.906047618
2025-03-01T00:00:00.000Z,sui,4160757328.65,0.1702563426
2025-03-01T00:00:00.000Z,near,1733115178.2469,0.07091830363
2025-03-01T00:00:00.000Z,gnosis,266433083.77,0.0109023235
2025-03-01T00:00:00.000Z,ink,60797824.77,0.002487819997
2025-03-01T00:00:00.000Z,bob,46264752.22,0.00189313312
2025-03-01T00:00:00.000Z,boba,14327031.84,0.000586255782
2025-02-01T00:00:00.000Z,base,1838281543724.13,51.218383728
2025-02-01T00:00:00.000Z,ethereum,1081597658803.58,30.135581852
2025-02-01T00:00:00.000Z,solana,298167451355.721,8.30757127
2025-02-01T00:00:00.000Z,bsc,139076663896.51,3.874967882
2025-02-01T00:00:00.000Z,arbitrum,68555576134.57,1.9101023
2025-02-01T00:00:00.000Z,polygon,54849693383.01,1.528227628
2025-02-01T00:00:00.000Z,optimism,48476741125.71,1.350663796
2025-02-01T00:00:00.000Z,avalanche,36979064749.95,1.03031439
2025-02-01T00:00:00.000Z,aptos,19588611421.6592,0.5457798453
2025-02-01T00:00:00.000Z,sui,1580066512.02,0.04402397076
2025-02-01T00:00:00.000Z,near,1529881577.34075,0.0426257131
2025-02-01T00:00:00.000Z,gnosis,268220154.52,0.007473176699
2025-02-01T00:00:00.000Z,ink,57652291.31,0.001606313891
2025-02-01T00:00:00.000Z,boba,47083786.14,0.001311853146
2025-02-01T00:00:00.000Z,bob,42632731.7,0.001187837423
2025-01-01T00:00:00.000Z,solana,1778577753897.72,40.50836826
2025-01-01T00:00:00.000Z,base,1294018826433.41,29.472195433
2025-01-01T00:00:00.000Z,ethereum,918139473080.62,20.911276894
2025-01-01T00:00:00.000Z,bsc,144797318216.83,3.297861494
2025-01-01T00:00:00.000Z,arbitrum,93621750879.69,2.132301696
2025-01-01T00:00:00.000Z,optimism,48023197587.88,1.093762344
2025-01-01T00:00:00.000Z,polygon,47271970384.43,1.076652612
2025-01-01T00:00:00.000Z,avalanche,44855045503.14,1.021605436
2025-01-01T00:00:00.000Z,aptos,16873621952.5998,0.384308693
2025-01-01T00:00:00.000Z,sui,2239389487.01,0.05100368191
2025-01-01T00:00:00.000Z,near,1518848058.37735,0.03459284046
2025-01-01T00:00:00.000Z,gnosis,341022403.97,0.007767026825
2025-01-01T00:00:00.000Z,bob,311807257.2,0.007101631162
2025-01-01T00:00:00.000Z,sei,24934455.32,0.0005678998831
2025-01-01T00:00:00.000Z,boba,15257625.39,0.0003475032265
2025-01-01T00:00:00.000Z,ink,12581530.03,0.000286553259
