MONTH,TOKEN_SYMBOL,MONTHLY_DEPOSITS,MONTHLY_DEPOSITED_USD
2025-01-01T00:00:00.000Z,DAI,37564,12600192624.57
2025-01-01T00:00:00.000Z,USDT,121530,8225733944.04
2025-01-01T00:00:00.000Z,USDt,2977,316506114.52
2025-01-01T00:00:00.000Z,USDS,349,192256090.16
2025-01-01T00:00:00.000Z,FDUSD,965,88141177.19
2025-01-01T00:00:00.000Z,USDe,97,25080886.72
2025-01-01T00:00:00.000Z,PYUSD,102,9074489.32
2025-01-01T00:00:00.000Z,GHO,445,1541331.45
2025-01-01T00:00:00.000Z,FRAX,112,288432.76
2024-12-01T00:00:00.000Z,USDC,233722,18354033059.5
2024-12-01T00:00:00.000Z,DAI,20756,11612988038.08
2024-12-01T00:00:00.000Z,USDT,125378,6297122063.91
2024-12-01T00:00:00.000Z,USDS,574,808432831.1
2024-12-01T00:00:00.000Z,USDt,3795,442603824.22
2024-12-01T00:00:00.000Z,FDUSD,2634,145568578.71
2024-12-01T00:00:00.000Z,USDe,157,38052684
2024-12-01T00:00:00.000Z,PYUSD,172,24768743.17
2024-12-01T00:00:00.000Z,GHO,741,1949203.22
2024-12-01T00:00:00.000Z,FRAX,218,1504228.13
2024-11-01T00:00:00.000Z,DAI,11688,19727038859.21
2024-11-01T00:00:00.000Z,USDC,206079,14674413342.17
2024-11-01T00:00:00.000Z,USDT,96987,4519936531.56
2024-11-01T00:00:00.000Z,USDS,580,1097466155.77
2024-11-01T00:00:00.000Z,USDt,3537,411980276.56
2024-11-01T00:00:00.000Z,FDUSD,1097,96446877.27
2024-11-01T00:00:00.000Z,USDe,46,16514961.7
2024-11-01T00:00:00.000Z,GHO,1224,8425638.85
2024-11-01T00:00:00.000Z,PYUSD,90,7899629.28
2024-11-01T00:00:00.000Z,FRAX,209,736736.93
2024-10-01T00:00:00.000Z,DAI,9213,21770408066.95
2024-10-01T00:00:00.000Z,USDC,159290,14789674271.49
2024-10-01T00:00:00.000Z,USDT,62111,2669520866.09
2024-10-01T00:00:00.000Z,USDt,3672,466932127.87
2024-10-01T00:00:00.000Z,USDS,364,334262607.15
2024-10-01T00:00:00.000Z,FDUSD,921,105397911.78
2024-10-01T00:00:00.000Z,GHO,3321,61330387.77
2024-10-01T00:00:00.000Z,USDe,99,24564790.25
2024-10-01T00:00:00.000Z,PYUSD,180,3320297.35
2024-10-01T00:00:00.000Z,FRAX,428,888789.16
2024-09-01T00:00:00.000Z,DAI,10676,44610685989.21
2024-09-01T00:00:00.000Z,USDC,139941,7204649610.45
2024-09-01T00:00:00.000Z,USDT,57885,2878107139.22
2024-09-01T00:00:00.000Z,USDt,6512,255267998
2024-09-01T00:00:00.000Z,FDUSD,1051,190392015.02
2024-09-01T00:00:00.000Z,USDe,621,92377497.59
2024-09-01T00:00:00.000Z,GHO,2250,29656889.09
2024-09-01T00:00:00.000Z,PYUSD,90,7653803.52
2024-09-01T00:00:00.000Z,FRAX,370,1933171.8
2024-09-01T00:00:00.000Z,USDS,1,1.02
2024-08-01T00:00:00.000Z,DAI,59564,100958189236.98
2024-08-01T00:00:00.000Z,USDC,183583,6216790063.64
2024-08-01T00:00:00.000Z,USDT,68279,3181955960.31
2024-08-01T00:00:00.000Z,USDt,3592,150710689.97
2024-08-01T00:00:00.000Z,FDUSD,1210,84768535.97
2024-08-01T00:00:00.000Z,USDe,402,60512420.12
2024-08-01T00:00:00.000Z,GHO,967,10976283.8
2024-08-01T00:00:00.000Z,PYUSD,82,9426859.33
2024-08-01T00:00:00.000Z,FRAX,218,724568.61
2024-07-01T00:00:00.000Z,DAI,49064,71059573351.3
2024-07-01T00:00:00.000Z,USDC,182817,5198857218.82
2024-07-01T00:00:00.000Z,USDT,99454,3270281272.53
2024-07-01T00:00:00.000Z,USDt,3774,90947692.18
2024-07-01T00:00:00.000Z,USDe,67,25344433.6
2024-07-01T00:00:00.000Z,FDUSD,539,14743255.94
2024-07-01T00:00:00.000Z,PYUSD,236,8217272.41
2024-07-01T00:00:00.000Z,FRAX,178,1129165.21
2024-07-01T00:00:00.000Z,GHO,143,192112.48
2024-06-01T00:00:00.000Z,DAI,71950,51395350037.21
2024-06-01T00:00:00.000Z,USDC,181540,3127505390.13
2024-06-01T00:00:00.000Z,USDT,57719,3098879735.59
2024-06-01T00:00:00.000Z,FDUSD,1435,100429464.65
2024-06-01T00:00:00.000Z,USDe,137,67577300.88
2024-06-01T00:00:00.000Z,USDt,1388,40014090.14
2024-06-01T00:00:00.000Z,PYUSD,120,13597508.2
2024-06-01T00:00:00.000Z,FRAX,190,520344.2
2024-05-01T00:00:00.000Z,DAI,127303,66275424580.15
2024-05-01T00:00:00.000Z,USDC,167057,3615748148.07
2024-05-01T00:00:00.000Z,USDT,56600,2520127032.92
2024-05-01T00:00:00.000Z,FDUSD,659,119111914.62
2024-05-01T00:00:00.000Z,USDt,2028,34967344.41
2024-05-01T00:00:00.000Z,PYUSD,86,20443080.76
2024-05-01T00:00:00.000Z,USDe,128,8020900.05
2024-05-01T00:00:00.000Z,FRAX,130,342421.43
2024-04-01T00:00:00.000Z,DAI,60248,120793797193.68
2024-04-01T00:00:00.000Z,USDC,188811,3340805614.9
2024-04-01T00:00:00.000Z,USDT,67983,3002953776.04
2024-04-01T00:00:00.000Z,FDUSD,3588,219013953.85
2024-04-01T00:00:00.000Z,USDt,2865,56244051.81
2024-04-01T00:00:00.000Z,PYUSD,110,13199081.48
2024-04-01T00:00:00.000Z,FRAX,265,2175689.25
2024-04-01T00:00:00.000Z,USDe,2,59.91
2024-03-01T00:00:00.000Z,DAI,67726,28842010804.64
2024-03-01T00:00:00.000Z,USDC,146216,3991881838.93
2024-03-01T00:00:00.000Z,USDT,107406,3117138503.76
2024-03-01T00:00:00.000Z,FDUSD,3144,138035750.82
2024-03-01T00:00:00.000Z,USDt,2995,75986031.64
2024-03-01T00:00:00.000Z,PYUSD,19,12884674.17
2024-03-01T00:00:00.000Z,FRAX,258,2456963.94
2024-02-01T00:00:00.000Z,DAI,49940,34761271817.1
2024-02-01T00:00:00.000Z,USDC,98715,2182625678.34
2024-02-01T00:00:00.000Z,USDT,48273,1403799512.96
2024-02-01T00:00:00.000Z,FDUSD,1703,75449147.68
2024-02-01T00:00:00.000Z,USDt,1396,20420568.87
2024-02-01T00:00:00.000Z,PYUSD,28,11347479.62
2024-02-01T00:00:00.000Z,FRAX,337,4754051.19
2024-01-01T00:00:00.000Z,DAI,56330,49326752436.67
2024-01-01T00:00:00.000Z,USDC,81521,2338177098.19
2024-01-01T00:00:00.000Z,USDT,1649,1132447478.62
2024-01-01T00:00:00.000Z,FDUSD,1567,60440964.87
2024-01-01T00:00:00.000Z,USDt,1612,45361231.25
