MONTH,PROJECTS,CHAIN,SYMBOL,AVG_APY,AVG_BASE_APY,AVG_REWARD_APY,AVG_TVL_USD,POOL_COUNT
2025-10-01T00:00:00.000Z,wildcat-protocol,Ethereum,MININGSTOREUSDC,14.5,14.5,,4988038.5,4
2025-10-01T00:00:00.000Z,lista-cdp,BSC,SUSDX,0,,,4986316.25,4
2025-10-01T00:00:00.000Z,pendle,Base,USDE,4.82294875,4.80979375,0.02631,4981064.5,8
2025-10-01T00:00:00.000Z,fluid-lending,Base,EURC,5.075,1.295,3.78,4957115.5,4
2025-10-01T00:00:00.000Z,beefy,Arbitrum,WAARBUSDCN-WAARBUSDT-WAARBGHO,14.02337,,,4948403.25,4
2025-10-01T00:00:00.000Z,across,Ethereum,USDC,4.1563175,1.532625,2.6236925,4944052.75,4
2025-10-01T00:00:00.000Z,kamino-liquidity,Solana,AUSD-USDC,0.0243725,0.0243725,0,4892626.5,4
2025-10-01T00:00:00.000Z,silo-v2,Avalanche,XUSD,0,0,,4882681.583333,12
2025-10-01T00:00:00.000Z,ipor-fusion,Ethereum,USDE,31.5090225,31.5090225,0,4848334.5,4
2025-10-01T00:00:00.000Z,wildcat-protocol,Ethereum,SLNUSDT,13,13,,4804207,4
2025-10-01T00:00:00.000Z,folks-finance-xchain,Avalanche,SAVUSD,0,0,0,4787934,4
2025-10-01T00:00:00.000Z,wildcat-protocol,Ethereum,AUROSUSDC,15,15,,4786206.5,4
2025-10-01T00:00:00.000Z,morpho-blue,Base,COUSDC,9.05661,8.989085,0.0675275,4643607.25,4
2025-10-01T00:00:00.000Z,curve-dex,Ethereum,USDG-USDC,0.01666666667,0.01666666667,0,4639002.333333,3
2025-10-01T00:00:00.000Z,merkl,Base,COUSDC,0.2574075,,0.2574075,4623179,4
2025-10-01T00:00:00.000Z,curve-dex,Ethereum,OUSD-USDC,3.211496667,0.04333333333,3.168163333,4617171,3
2025-10-01T00:00:00.000Z,merkl,Sonic,LVUSDCE,23.916515,,23.916515,4609537.75,4
2025-10-01T00:00:00.000Z,merkl,Sonic,LVUSDCE-USDC,24.6686425,,24.6686425,4609537.75,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,REUSD,0,,,4590834.5,4
2025-10-01T00:00:00.000Z,fluid-lending,Base,GHO,11.27,4.26,7.01,4586754.5,4
2025-10-01T00:00:00.000Z,euler-v2,Avalanche,USDC,20.54160375,4.61911875,15.9224875,4522965.875,8
2025-10-01T00:00:00.000Z,uniswap-v3,Ethereum,EUROC-USDC,16.4059175,16.4059175,,4477653.25,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,DUSDTV3-USDT,1.14426,,1.14426,4443951.75,4
2025-10-01T00:00:00.000Z,allbridge-classic,BSC,USDT,0.1144175,0.1144175,,4417575.5,4
2025-10-01T00:00:00.000Z,merkl,Ethereum,USDC-HYUSDC,1.35176,,1.35176,4408812.25,4
2025-10-01T00:00:00.000Z,morpho-blue,Ethereum,HYUSDC,13.44045,12.0966225,1.3438275,4408793,4
2025-10-01T00:00:00.000Z,yieldfi,Base,YUSD,9.745,9.745,,4378653.75,4
2025-10-01T00:00:00.000Z,curve-dex,Ethereum,USDC-EURS,0.3925,0.3925,0,4376669.75,4
